название;цена;ссылка
  Детские весы  ;16000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/detskie_vesy_1792292657
  Бортики в детскую кроватку  ;1500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/bortiki_v_detskuyu_krovatku_1809542722
  Коллекционная детская швейная машинка  ;400₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kollektsionnaya_detskaya_shveynaya_mashinka_1711840660
  Коляска Peg perego GT 3  ;1000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kolyaska_peg_perego_gt_3_1325843388
  Прогулочная коляска Valco Baby Snap  ;3999₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/progulochnaya_kolyaska_valco_baby_snap_1821063934
  Автокресло Brevi  ;1250₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/avtokreslo_brevi_1689126277
  Кукла Фарфоровая новая  ;3500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kukla_farforovaya_novaya_1616134828
  Игрушки ручной работы  ;800₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/igrushki_ruchnoy_raboty_1237145880
  Кухня детская б/у  ;1950₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kuhnya_detskaya_bu_1851429259
  Стул детский высокий икеа IKEA  ;8500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/stul_detskiy_vysokiy_ikea_ikea_1822940393
  Развивающий центр  ;7000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/razvivayuschiy_tsentr_1525248833
  Круг Детский  ;2500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/krug_detskiy_1852601980
  Emmaljunga Nitro City 2 в 1. Эко Кожа  ;2000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/emmaljunga_nitro_city_2_v_1._eko_kozha_1159750539
  Двухъярусная кровать  ;6500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/dvuhyarusnaya_krovat_1846508168
  Коляска Stokke 2 в 1 розовая  ;2000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kolyaska_stokke_2_v_1_rozovaya_1846548576
  Мяч попрыгун  ;2000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/myach_poprygun_1822170997
  Тыква и морковь от Агуша  ;1500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/tykva_i_morkov_ot_agusha_1852104291
  Игрушка ELC рыбалка  ;600₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/igrushka_elc_rybalka_1497355952
  Игровой набор фабрика конфет  ;20900₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/igrovoy_nabor_fabrika_konfet_1831944154
  Стерилизатор Avent  ;5000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/sterilizator_avent_1812772582
  Сетка и аксессуары для Adamex Flamenco и люлька дл  ;27000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/setka_i_aksessuary_dlya_adamex_flamenco_i_lyulka_dl_1783411429
  Растущая парта для школьника  ;3995₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/rastuschaya_parta_dlya_shkolnika_1065258639
  Гироскутер  ;5000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/giroskuter_1496736426
  Yoya plus 3 Коляски - серый / доставка  ;5997₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/yoya_plus_3_kolyaski_-_seryy_dostavka_1787760848
  Детская кровать  ;17000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/detskaya_krovat_1783659167
  Конструкторы Полесье  ;500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/konstruktory_polese_1829893703
  Касса розовая со звуками  ;300₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kassa_rozovaya_so_zvukami_1339978934
  Машина на радио управлении  ;500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/mashina_na_radio_upravlenii_1814936987
  Манеж краб хаус  ;51000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/manezh_krab_haus_1399006622
  Кокон для роворожденрого  ;16000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kokon_dlya_rovorozhdenrogo_1251031857
  Постельное Винни пух 1.5 спальное  ;29900₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/postelnoe_vinni_puh_1.5_spalnoe_1550240208
  Заяц, ручная работа  ;2000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/zayats_ruchnaya_rabota_1635549158
  Лего Звездные Войны 75020  ;400₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/lego_zvezdnye_voyny_75020_1761014904
  Кокон red castle  ;1000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kokon_red_castle_1434246158
  Акула IKEA  ;1000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/akula_ikea_1802438537
  Lego вертолёт береговой охраны  ;20000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/lego_vertolet_beregovoy_ohrany_1606928307
  Подогреватель для бутылочек Avent Express  ;7500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/podogrevatel_dlya_butylochek_avent_express_1412197516
  Детская каталка  ;3000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/detskaya_katalka_948922868
  Сумка для коляски Polaris  ;6000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/sumka_dlya_kolyaski_polaris_1793812508
  Конструктор лего  ;5000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/konstruktor_lego_1851421656
  Lego Knights Kingdom (8704)  ;1599₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/lego_knights_kingdom_8704_994823402
  Hot weels  ;2000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/hot_weels_1813797904
  Кроватка Лель Лилия 17.0 с матрасом  ;500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/krovatka_lel_liliya_17.0_s_matrasom_1807717401
  Коляска Mima Xari 3в1  ;400₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kolyaska_mima_xari_3v1_1845723271
  My Little Pony  ;300₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/my_little_pony_1821741204
  Ковер с дорогами Городок 2 х 3 метра  ;500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kover_s_dorogami_gorodok_2_h_3_metra_1835813126
  Пустышка классическая Tommee Tippee Air Style  ;1000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/pustyshka_klassicheskaya_tommee_tippee_air_style_759231502
  Автомобильное кресло Maxi cosi pebble 0+  ;Ценанеуказана;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/avtomobilnoe_kreslo_maxi_cosi_pebble_0_1594702369
  Ванночка для купания OK baby Onda  ;2000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/vannochka_dlya_kupaniya_ok_baby_onda_1802412981
  Детская коляска Bebecar Stylo Class  ;37000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/detskaya_kolyaska_bebecar_stylo_class_1787126665
  Пеналы школьные  ;300₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/penaly_shkolnye_1821026746
  Коляска-трость Bebe Confort vit  ;1000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kolyaska-trost_bebe_confort_vit_1805058959
  Детское пюре Агуша  ;300₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/detskoe_pyure_agusha_1825872809
  Баскетбольное кольцо с мячом, напольная игра  ;6900₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/basketbolnoe_koltso_s_myachom_napolnaya_igra_1824977970
  Радиооняня Phillips avent  ;900₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/radioonyanya_phillips_avent_1847169472
  Lego mixels  ;8000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/lego_mixels_1812968732
  Беговел Puky LR 1L Br  ;400₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/begovel_puky_lr_1l_br_1852736586
  Детская кухня производство Икеа  ;1100₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/detskaya_kuhnya_proizvodstvo_ikea_1830279438
  Залипаки из Перекрёстка  ;15₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/zalipaki_iz_perekrestka_1843053839
  Graco city sport  ;2000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/graco_city_sport_1197230773
  Дуга tiny love  ;2000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/duga_tiny_love_1812990133
  Развивающие игрушки  ;1850₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/razvivayuschie_igrushki_1791926373
  Люлька переноска maxi cosi и колесная база под неё  ;9900₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/lyulka_perenoska_maxi_cosi_i_kolesnaya_baza_pod_nee_1310797004
  Коляска Silver Cross Jet  ;10000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kolyaska_silver_cross_jet_1794188296
  Воздушные шары, шарики с гелием с доставкой  ;45₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/vozdushnye_shary_shariki_s_geliem_s_dostavkoy_1096584176
  Мяч с червяком Tiny Love (тини лав)  ;500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/myach_s_chervyakom_tiny_love_tini_lav_1839496356
  История игрушек 4 Джесси говорящая  ;1800₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/istoriya_igrushek_4_dzhessi_govoryaschaya_1144283070
  Белакт каша безмолочная гречневая с яблоком - 2 уп  ;Ценанеуказана;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/belakt_kasha_bezmolochnaya_grechnevaya_s_yablokom_-_2_up_1782375225
  Новая кукла-марионетка Зайчик, Чехия  ;700₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/novaya_kukla-marionetka_zaychik_chehiya_607665614
"  Блокнот ""Моана""  ";13900₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/bloknot_moana_895206079
  Lego bionicle  ;200₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/lego_bionicle_1813498656
  Детские весы  ;600₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/detskie_vesy_1804457155
  Молокоотсос электрический Pigeon Pro  ;400₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/molokootsos_elektricheskiy_pigeon_pro_1775211145
  Школьный ранец Randoseru (topvalu)  ;Ценанеуказана;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/shkolnyy_ranets_randoseru_topvalu_1344151715
  Детское авто кресло  ;1500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/detskoe_avto_kreslo_1851448971
  Игрушки интерактивные  ;1600₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/igrushki_interaktivnye_1414286241
  Карусель на кровать детский  ;1500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/karusel_na_krovat_detskiy_1659845330
  Детский стульчик  ;8995₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/detskiy_stulchik_1818373266
  Бортик/ манеж для поезда  ;3500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/bortik_manezh_dlya_poezda_1376844015
  Кенгуру - эрго - рюкзак baby bjorn original  ;15000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kenguru_-_ergo_-_ryukzak_baby_bjorn_original_1629436118
  Мягкие игрушки  ;1000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/myagkie_igrushki_1300808861
  LOL Fluffy pets snow dogg  ;500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/lol_fluffy_pets_snow_dogg_1842801013
  Горка baby ok  ;300₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/gorka_baby_ok_1775917202
  Новое белье дисней в детскую кроватку  ;1000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/novoe_bele_disney_v_detskuyu_krovatku_1329859186
  Рюкзак-кенгуру  ;1000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/ryukzak-kenguru_1796116341
  Автокресло 0+ maxi cosi  ;2000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/avtokreslo_0_maxi_cosi_1795255210
  Marc Jacobs  ;100₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/marc_jacobs_1795851811
  Мобиль Smoby  ;1300₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/mobil_smoby_1830889505
  Коляска прогулочная Aprica Karoon plus(0+)  ;500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kolyaska_progulochnaya_aprica_karoon_plus0_1294506184
  Детское автокресло-переноска  ;500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/detskoe_avtokreslo-perenoska_1831292354
  Lego  ;500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/lego_1264285293
  Кровать  ;5000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/krovat_1769493654
  Развивающий детский коврик  ;7000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/razvivayuschiy_detskiy_kovrik_1805458831
  Стульчик для кормления  ;1500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/stulchik_dlya_kormleniya_1788392767
  Птица страус сидячий папье маше  ;5000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/ptitsa_straus_sidyachiy_pape_mashe_1724602602
  Автокресло 0-18  ;1000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/avtokreslo_0-18_1773360486
  Каша Агуша (обмен)  ;1000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kasha_agusha_obmen_1831945534
  Пюре агуша тыква  ;1000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/pyure_agusha_tykva_1828873445
  Шезлонг, Кокон Red Castle  ;2300₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/shezlong_kokon_red_castle_1780282947
  Коляска детская  ;2000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kolyaska_detskaya_1786570206
  Молочная смесь  ;500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/molochnaya_smes_1842052275
